"Timestamp";"Age";"Area";"Men";"Women"
"2024M01";"20-24 years";"Vejen";1118;858
"2024M01";"20-24 years";"Vejle";3349;3188
"2024M01";"20-24 years";"Aabenraa";1427;1202
"2024M01";"20-24 years";"Region Midtjylland";47697;47231
"2024M01";"20-24 years";"Favrskov";1067;815
"2024M01";"20-24 years";"Hedensted";1178;877
"2024M01";"20-24 years";"Horsens";3157;2775
"2024M01";"20-24 years";"Norddjurs";976;691
"2024M01";"20-24 years";"Odder";548;433
"2024M01";"20-24 years";"Randers";2682;2628
"2024M01";"20-24 years";"Sams�";61;34
"2024M01";"20-24 years";"Silkeborg";2482;2283
"2024M01";"20-24 years";"Skanderborg";1299;1042
"2024M01";"20-24 years";"Syddjurs";880;712
"2024M01";"20-24 years";"Aarhus";21529;24897
"2024M01";"20-24 years";"Herning";2722;2377
"2024M01";"20-24 years";"Holstebro";1786;1667
"2024M01";"20-24 years";"Ikast-Brande";1097;877
"2024M01";"20-24 years";"Lemvig";503;375
"2024M01";"20-24 years";"Ringk�bing-Skjern";1503;1194
"2024M01";"20-24 years";"Skive";1175;965
"2024M01";"20-24 years";"Struer";487;399
"2024M01";"20-24 years";"Viborg";2565;2190
"2024M01";"20-24 years";"Region Nordjylland";19794;17740
"2024M01";"20-24 years";"Br�nderslev";808;589
"2024M01";"20-24 years";"Frederikshavn";1259;1000
"2024M01";"20-24 years";"Hj�rring";1530;1292
"2024M01";"20-24 years";"Jammerbugt";818;650
"2024M01";"20-24 years";"L�s�";24;21
"2024M01";"20-24 years";"Mariagerfjord";975;755
"2024M01";"20-24 years";"Mors�";470;426
"2024M01";"20-24 years";"Rebild";592;448
"2024M01";"20-24 years";"Thisted";1115;879
"2024M01";"20-24 years";"Vesthimmerlands";845;663
"2024M01";"20-24 years";"Aalborg";11358;11017
"2024M01";"25-29 years";"All Denmark";208974;200741
"2024M01";"25-29 years";"Region Hovedstaden";79071;81674
"2024M01";"25-29 years";"Copenhagen";44318;48342
"2024M01";"25-29 years";"Frederiksberg";5410;6027
"2024M01";"25-29 years";"Drag�r";117;134
"2024M01";"25-29 years";"T�rnby";981;905
"2024M01";"25-29 years";"Albertslund";914;834
"2024M01";"25-29 years";"Ballerup";1532;1363
"2024M01";"25-29 years";"Br�ndby";1482;1378
"2024M01";"25-29 years";"Gentofte";1542;1667
"2024M01";"25-29 years";"Gladsaxe";2408;2166
"2024M01";"25-29 years";"Glostrup";843;737
"2024M01";"25-29 years";"Herlev";913;825
